Temp:	U:
-6.42685056E-03	-0.533E-6
-6.44088448E-03	-0.550E-6
-6.43223424E-03	-0.490E-6
-6.44012672E-03	-0.558E-6
-6.42560768E-03	-0.568E-6
-6.42340096E-03	-0.543E-6
-6.42495808E-03	-0.528E-6
-6.42930944E-03	-0.500E-6
-6.43072192E-03	-0.488E-6
-6.42761088E-03	-0.513E-6
-6.43482496E-03	-0.540E-6
-6.42180864E-03	-0.500E-6
-6.43663616E-03	-0.508E-6
-6.42711616E-03	-0.483E-6
-6.42581760E-03	-0.518E-6
-6.42584128E-03	-0.540E-6
-6.43436224E-03	-0.505E-6
-6.42250624E-03	-0.528E-6
-6.41899072E-03	-0.520E-6
-6.41860288E-03	-0.500E-6
-6.43049408E-03	-0.490E-6
-6.42671616E-03	-0.465E-6
-6.42349120E-03	-0.545E-6
-6.42260288E-03	-0.515E-6
-6.42020480E-03	-0.495E-6
-6.42141184E-03	-0.465E-6
-6.41326144E-03	-0.538E-6
-6.41231872E-03	-0.458E-6
-6.41542336E-03	-0.480E-6
-6.40391552E-03	-0.508E-6
-6.39906816E-03	-0.515E-6
-6.39718272E-03	-0.503E-6
-6.40834112E-03	-0.515E-6
-6.39389760E-03	-0.515E-6
-6.40011840E-03	-0.440E-6
-6.39413760E-03	-0.518E-6
-6.39688576E-03	-0.493E-6
-6.39544064E-03	-0.538E-6
-6.37956352E-03	-0.495E-6
-6.38920320E-03	-0.490E-6
-6.37549120E-03	-0.488E-6
-6.37207744E-03	-0.513E-6
-6.38150848E-03	-0.440E-6
-6.37425792E-03	-0.478E-6
-6.35683584E-03	-0.503E-6
-6.35791104E-03	-0.503E-6
-6.35155200E-03	-0.483E-6
-6.33303680E-03	-0.500E-6
-6.34366912E-03	-0.438E-6
-6.33107840E-03	-0.503E-6
-6.33980800E-03	-0.488E-6
-6.34422464E-03	-0.455E-6
-6.33755200E-03	-0.463E-6
-6.34081024E-03	-0.455E-6
-6.31722368E-03	-0.440E-6
-6.32235584E-03	-0.465E-6
-6.29887680E-03	-0.440E-6
-6.29137152E-03	-0.488E-6
-6.28049536E-03	-0.430E-6
-6.26751424E-03	-0.438E-6
-6.26123328E-03	-0.450E-6
-6.24942592E-03	-0.368E-6
-6.23630016E-03	-0.403E-6
-6.22099520E-03	-0.430E-6
-6.22941184E-03	-0.440E-6
-6.21857280E-03	-0.408E-6
-6.21950656E-03	-0.430E-6
-6.21603200E-03	-0.425E-6
-6.21760832E-03	-0.365E-6
-6.20189120E-03	-0.425E-6
-6.19428096E-03	-0.395E-6
-6.20368832E-03	-0.358E-6
-6.18763392E-03	-0.370E-6
-6.19200448E-03	-0.338E-6
-6.18366400E-03	-0.380E-6
-6.17667520E-03	-0.330E-6
-6.17369728E-03	-0.358E-6
-6.17227904E-03	-0.320E-6
-6.16965376E-03	-0.295E-6
-6.16702400E-03	-0.295E-6
-6.16491840E-03	-0.325E-6
-6.14982016E-03	-0.350E-6
-6.15398336E-03	-0.253E-6
-6.15193536E-03	-0.325E-6
-6.14136832E-03	-0.318E-6
-6.14734400E-03	-0.350E-6
-6.13077696E-03	-0.330E-6
-6.14107904E-03	-0.283E-6
-6.13291776E-03	-0.228E-6
-6.13502848E-03	-0.305E-6
-6.11731712E-03	-0.318E-6
-6.12558656E-03	-0.228E-6
-6.12504640E-03	-0.303E-6
-6.12134912E-03	-0.265E-6
-6.11677376E-03	-0.243E-6
-6.10238848E-03	-0.295E-6
-6.10690048E-03	-0.215E-6
-6.09964352E-03	-0.255E-6
-6.09470464E-03	-0.275E-6
-6.09949760E-03	-0.215E-6
-6.09159040E-03	-0.220E-6
-6.07788288E-03	-0.220E-6
-6.08846016E-03	-0.240E-6
-6.08219136E-03	-0.200E-6
-6.06485184E-03	-0.263E-6
-6.06662912E-03	-0.195E-6
-6.06806720E-03	-0.263E-6
-6.05546752E-03	-0.190E-6
-6.04912384E-03	-0.190E-6
-6.05827264E-03	-0.203E-6
-6.05441408E-03	-0.170E-6
-6.03657344E-03	-0.200E-6
-6.04746048E-03	-0.183E-6
-6.02911424E-03	-0.168E-6
-6.03600512E-03	-0.143E-6
-6.02200640E-03	-0.155E-6
-6.02817792E-03	-0.168E-6
-6.01096192E-03	-0.108E-6
-6.01549376E-03	-0.120E-6
-5.99505216E-03	-0.120E-6
-5.98733824E-03	-0.090E-6
-5.99313984E-03	-0.070E-6
-5.98207552E-03	-0.075E-6
-5.97721536E-03	-0.103E-6
-5.97250304E-03	-0.055E-6
-5.96944064E-03	-0.080E-6
-5.95388800E-03	-0.118E-6
-5.95716992E-03	-0.065E-6
-5.95397184E-03	-0.078E-6
-5.93451136E-03	-0.088E-6
-5.92931648E-03	-0.090E-6
-5.92000128E-03	-0.080E-6
-5.92668928E-03	-0.053E-6
-5.91826432E-03	-0.003E-6
-5.90915840E-03	0.003E-6
-5.91115328E-03	-0.040E-6
-5.89315776E-03	-0.003E-6
-5.90095040E-03	-0.025E-6
-5.88019648E-03	0.055E-6
-5.87440448E-03	-0.015E-6
-5.87471360E-03	0.088E-6
-5.86304128E-03	0.118E-6
-5.86770432E-03	0.115E-6
-5.86314176E-03	0.150E-6
-5.86019008E-03	0.218E-6
-5.83977152E-03	0.170E-6
-5.84100480E-03	0.253E-6
-5.83155520E-03	0.215E-6
-5.83831168E-03	0.263E-6
-5.82284032E-03	0.318E-6
-5.81442496E-03	0.258E-6
-5.80676288E-03	0.293E-6
-5.80740544E-03	0.350E-6
-5.81041856E-03	0.395E-6
-5.79597056E-03	0.450E-6
-5.79419328E-03	0.450E-6
-5.78049600E-03	0.493E-6
-5.77928256E-03	0.533E-6
-5.78258816E-03	0.528E-6
-5.77585216E-03	0.603E-6
-5.76958592E-03	0.578E-6
-5.75282496E-03	0.595E-6
-5.74873856E-03	0.645E-6
-5.75520256E-03	0.703E-6
-5.74310784E-03	0.665E-6
-5.73160768E-03	0.678E-6
-5.73315456E-03	0.733E-6
-5.72426240E-03	0.718E-6
-5.71865024E-03	0.758E-6
-5.72503488E-03	0.743E-6
-5.71832960E-03	0.768E-6
-5.71401408E-03	0.738E-6
-5.69505024E-03	0.770E-6
-5.69987776E-03	0.825E-6
-5.68541760E-03	0.795E-6
-5.69027776E-03	0.843E-6
-5.68607936E-03	0.815E-6
-5.68022656E-03	0.878E-6
-5.67981824E-03	0.803E-6
-5.66643392E-03	0.843E-6
-5.66585600E-03	0.863E-6
-5.65548800E-03	0.863E-6
-5.65872576E-03	0.918E-6
-5.64977344E-03	0.950E-6
-5.65011072E-03	0.905E-6
-5.63883328E-03	0.913E-6
-5.63690432E-03	0.895E-6
-5.62520384E-03	0.903E-6
-5.61638400E-03	0.913E-6
-5.62404096E-03	0.918E-6
-5.60675008E-03	0.903E-6
-5.61581376E-03	0.968E-6
-5.60904768E-03	0.955E-6
-5.60443584E-03	0.950E-6
-5.60101248E-03	0.955E-6
-5.58858240E-03	1.000E-6
-5.59083648E-03	0.975E-6
-5.58029440E-03	1.025E-6
-5.58276992E-03	0.968E-6
-5.57062336E-03	1.013E-6
-5.56966656E-03	1.045E-6
-5.56665280E-03	0.980E-6
-5.56216704E-03	1.055E-6
-5.55445568E-03	0.968E-6
-5.54022336E-03	1.038E-6
-5.53591488E-03	1.038E-6
-5.53698048E-03	1.025E-6
-5.53789056E-03	1.003E-6
-5.52348928E-03	1.005E-6
-5.51694528E-03	1.043E-6
-5.51798336E-03	1.050E-6
-5.50606656E-03	1.028E-6
-5.50946048E-03	1.103E-6
-5.49539648E-03	1.050E-6
-5.49887680E-03	1.050E-6
-5.48464320E-03	1.053E-6
-5.48370496E-03	1.058E-6
-5.47800000E-03	1.100E-6
-5.47604288E-03	1.083E-6
-5.46546176E-03	1.043E-6
-5.46011840E-03	1.068E-6
-5.46534720E-03	1.090E-6
-5.45126912E-03	1.003E-6
-5.45487296E-03	1.058E-6
-5.43583296E-03	1.040E-6
-5.44126144E-03	0.990E-6
-5.43162368E-03	1.013E-6
-5.42645632E-03	0.953E-6
-5.42111936E-03	1.013E-6
-5.42240704E-03	0.965E-6
-5.41546432E-03	0.953E-6
-5.39787840E-03	0.900E-6
-5.39698496E-03	0.850E-6
-5.38451840E-03	0.765E-6
-5.38434240E-03	0.758E-6
-5.37395904E-03	0.688E-6
-5.37265856E-03	0.595E-6
-5.37541888E-03	0.508E-6
-5.36464640E-03	0.338E-6
-5.35779264E-03	0.215E-6
-5.34487360E-03	0.040E-6
-5.34848576E-03	-0.133E-6
-5.34369440E-03	-0.203E-6
-5.33594752E-03	-0.183E-6
-5.31898176E-03	-0.100E-6
-5.31570432E-03	0.133E-6
-5.31720672E-03	0.320E-6
-5.29780448E-03	0.463E-6
